Batch Size, 1
Num Batches, 2552
kwin1_out,kwin2_out,kwinl_out,activations,sp_rows,sp_cols,mul_min,mul_max,mul_avg,mul_med,mul_std
325,484,309,300,160,152,16,46,29.21708463949843,29.0,4.082022244826235
216,629,299,300,160,144,14,49,29.574059561128525,29.0,5.616813190459085
194,723,142,300,160,129,13,47,27.7076802507837,28.0,4.572385829479234
236,711,234,300,160,144,14,48,30.144200626959247,30.0,4.737007233174438
334,592,305,300,160,141,17,46,31.12539184952978,31.0,4.296143318953275
456,358,213,300,160,156,17,49,30.300940438871475,30.0,4.155428416237161
531,456,352,300,160,141,15,44,28.307601880877744,28.0,4.403685961600545
637,579,276,300,160,163,17,50,30.822492163009404,31.0,4.7581224461252605
735,587,332,300,160,174,15,49,29.96512539184953,30.0,4.762127570405488
816,515,384,300,160,141,17,48,32.692006269592476,33.0,4.551598849606036
841,411,211,300,160,170,14,44,29.53605015673981,29.0,4.216360664293651
740,319,312,300,160,150,16,46,30.808777429467085,31.0,4.434417761980307
631,308,37,300,160,161,15,44,28.769984326018808,29.0,4.276493157969722
522,485,270,300,160,123,16,42,28.537617554858933,28.0,4.387499551872975
425,670,36,300,160,147,15,44,30.280564263322884,30.0,4.3017600460182726
245,339,160,300,160,155,13,47,28.946708463949843,29.0,5.369889943557114
240,339,292,300,160,148,17,46,30.519592476489027,30.0,4.569946648825295
305,312,101,300,160,152,15,46,30.062695924764892,30.0,4.856158576237971
437,417,225,300,160,162,17,45,30.578369905956112,31.0,4.026378831704541
566,544,266,300,160,165,15,46,30.108150470219435,30.0,4.715335086766741
701,312,239,300,160,155,15,55,29.578369905956112,29.0,5.047669548980873
815,313,232,300,160,146,12,45,27.933777429467085,28.0,5.014469986149923
934,362,303,300,160,168,16,43,29.303683385579937,29.0,4.155653199836359
962,475,341,300,160,136,16,49,29.41771159874608,29.0,4.492362006040223
967,642,174,300,160,133,16,44,29.96473354231975,30.0,4.493413240127728
919,345,360,300,160,160,16,43,28.814263322884013,29.0,4.388730617414158
799,328,216,300,160,148,16,45,28.86716300940439,29.0,4.329673090138772
646,362,304,300,160,142,15,47,29.387147335423197,29.0,4.3841540342290815
514,523,185,300,160,158,16,44,29.71708463949843,30.0,4.413649705898564
176,649,248,300,160,143,15,46,30.544278996865202,30.0,4.6952168548439035
202,330,393,300,160,156,10,46,28.53487460815047,28.0,4.82900783568083
278,319,2,300,160,154,17,46,30.954937304075234,31.0,3.972466848748744
395,301,338,300,160,163,15,47,30.21394984326019,30.0,4.879391093106862
523,366,195,300,160,143,15,45,29.4980407523511,29.0,4.206186209732175
632,452,193,300,160,154,18,47,30.976489028213166,31.0,4.193338375642758
746,389,310,300,160,129,16,52,29.439263322884013,29.0,5.007071246418531
840,594,249,300,160,169,14,48,31.560344827586206,32.0,4.525645613572933
827,751,324,300,160,151,17,47,29.268808777429467,29.0,4.006831801913549
833,734,211,300,160,136,15,53,31.779780564263323,32.0,5.373737246038879
790,542,250,300,160,148,15,46,30.524686520376175,31.0,4.486240054138947
687,219,323,300,160,150,17,46,29.794278996865202,30.0,4.319662183169675
561,322,308,300,160,174,16,48,30.57601880877743,31.0,5.36472471776995
448,437,323,300,160,154,16,46,30.718652037617556,31.0,4.585738086097229
111,445,307,300,160,141,14,45,30.850705329153605,31.0,4.4863131602801944
133,354,259,300,160,144,16,46,30.20846394984326,30.0,4.058211670991143
211,225,133,300,160,160,17,43,29.579937304075234,30.0,3.788061430396547
288,372,302,300,160,136,16,43,28.010971786833856,28.0,4.298870449711719
423,546,311,300,160,141,17,44,29.427115987460816,29.0,4.223221165369543
535,667,202,300,160,152,16,44,29.651645768025077,30.0,4.503886909264886
663,621,32,300,160,161,15,48,30.190047021943574,30.0,4.670860579784272
754,186,282,300,160,134,14,45,30.80485893416928,31.0,4.187177197084804
780,354,229,300,160,142,18,48,31.878134796238246,32.0,4.457703518511069
794,536,208,300,160,148,16,46,29.317006269592476,29.0,4.383217402700183
718,621,172,300,160,171,11,47,27.72296238244514,27.0,5.960000368325026
619,637,323,300,160,131,17,42,29.406347962382444,29.0,4.008885954966207
496,189,205,300,160,162,18,42,30.33228840125392,30.0,4.005492870187845
361,241,300,300,160,130,16,49,30.29153605015674,30.0,4.718448136089207
149,306,340,300,160,148,17,49,31.729623824451412,32.0,4.439573412412198
147,380,380,300,160,149,15,43,29.68064263322884,30.0,4.310932544001908
198,410,253,300,160,158,17,47,30.83503134796238,31.0,4.570312242711925
280,184,320,300,160,144,16,46,30.63283699059561,31.0,4.334783508358523
345,315,242,300,160,155,13,48,30.30485893416928,30.0,5.877432123443057
451,487,260,300,160,149,15,44,30.211990595611287,30.0,4.4145630811444665
564,576,241,300,160,133,14,44,28.54114420062696,28.0,4.724447847974871
656,516,294,300,160,134,14,46,28.45650470219436,28.0,4.622385392528681
725,227,321,300,160,158,14,44,29.22217868338558,29.0,4.133879475342937
731,387,258,300,160,148,16,46,29.837382445141067,30.0,4.07711297386988
685,539,210,300,160,145,13,46,29.107366771159874,29.0,4.603672613257346
597,588,266,300,160,147,15,46,30.577978056426332,31.0,4.586100814050479
484,536,255,300,160,174,15,50,28.697492163009404,28.0,5.010274081857243
370,202,349,300,160,131,17,44,29.135188087774296,29.0,4.425203894746268
156,317,235,300,160,147,16,46,30.53526645768025,30.0,4.355698624668333
153,411,195,300,160,149,16,44,29.6935736677116,30.0,4.091449462263138
179,419,211,300,160,133,13,50,28.016849529780565,28.0,4.898830528274767
234,448,111,300,160,170,16,47,30.28448275862069,30.0,4.670803462279809
315,305,434,300,160,138,16,48,29.84012539184953,30.0,4.850539314933845
360,328,197,300,160,141,15,48,30.09169278996865,30.0,4.948818923057117
447,349,254,300,160,144,15,48,31.594043887147336,31.0,5.061511502900955
509,288,301,300,160,144,15,48,30.07601880877743,30.0,4.7198661528917984
532,262,254,300,160,144,16,49,30.53409090909091,30.0,4.568489341479182
569,198,367,300,160,152,17,47,31.135188087774296,31.0,4.411279718826096
537,249,216,300,160,142,13,48,29.473354231974923,29.0,5.602290035281108
479,304,129,300,160,145,15,44,29.92554858934169,30.0,4.02314299497096
406,313,292,300,160,171,13,48,28.66614420062696,29.0,4.998806866222104
320,283,269,300,160,143,14,46,28.50862068965517,28.0,4.978079312957188
184,90,282,300,160,145,16,44,28.895768025078368,29.0,4.790610685750396
193,129,201,300,160,133,15,45,28.023902821316614,28.0,4.336165165402891
222,259,225,300,160,135,15,48,29.563087774294672,30.0,4.298330345283614
262,521,253,300,160,144,18,46,31.175940438871475,31.0,4.112924175747632
323,679,180,300,160,154,16,45,30.19435736677116,30.0,4.319235914104876
392,125,261,300,160,163,14,47,31.103448275862068,31.0,5.196706277486919
463,174,186,300,160,150,15,46,29.718260188087775,30.0,4.617434466052509
521,260,159,300,160,163,14,47,29.614420062695924,30.0,4.717513447529595
500,419,225,300,160,150,16,45,30.164184952978058,30.0,4.38802724616972
502,585,221,300,160,141,14,47,28.771943573667713,29.0,4.548298415844621
508,122,213,300,160,152,15,46,29.845611285266457,30.0,4.809993631275762
509,238,215,300,160,168,18,44,30.12656739811912,30.0,4.160764202662738
433,420,270,300,160,143,16,49,30.34169278996865,30.0,4.560548929553419
331,604,140,300,160,119,12,45,28.95689655172414,29.0,4.783693346155333
166,746,214,300,160,159,15,46,28.657523510971785,29.0,4.405605023431854
189,128,199,300,160,157,17,45,31.661833855799372,32.0,4.506228822904029
208,249,260,300,160,155,17,45,30.502742946708462,31.0,4.388195764630362
246,458,214,300,160,157,15,48,31.933385579937305,32.0,4.750625909454342
302,654,357,300,160,154,16,44,31.272335423197493,31.0,4.309887247726817
335,766,200,300,160,151,15,45,29.643025078369906,30.0,4.742994993377925
388,108,214,300,160,147,15,46,29.29271159874608,29.0,4.308915105574042
392,181,240,300,160,170,16,49,30.913793103448278,31.0,4.786714015575997
401,359,248,300,160,157,16,48,29.67398119122257,30.0,5.119372525926138
