Batch Size, 1
Num Batches, 2552
kwin1_out,kwin2_out,kwinl_out,activations,sp_rows,sp_cols,mul_min,mul_max,mul_avg,mul_med,mul_std
682,268,340,300,640,393,96,149,120.79114420062696,121.0,7.010395322515861
696,493,437,300,640,408,95,150,122.29153605015674,122.0,7.553028238500397
606,434,551,300,640,408,94,149,121.57210031347962,121.0,6.9632581852320055
489,482,289,300,640,418,95,144,119.74608150470219,120.0,7.2743338472506665
399,778,187,300,640,358,93,148,119.31543887147335,119.0,7.489937651940926
293,1096,627,300,640,395,95,145,118.93808777429467,119.0,7.717235774863617
124,367,405,300,640,422,95,144,120.65007836990596,121.0,7.257212388741297
147,371,467,300,640,387,93,146,118.11324451410658,118.0,7.222240997205615
198,458,497,300,640,400,94,146,118.33777429467085,118.0,7.344277797227594
346,690,379,300,640,399,96,152,121.17163009404389,121.0,7.05466857856921
457,940,441,300,640,406,94,148,120.78173981191223,121.0,8.424508698809367
546,237,382,300,640,399,98,149,121.95532915360502,122.0,7.410831148298132
679,330,167,300,640,389,90,144,119.02311912225706,119.0,7.869319515950353
780,540,315,300,640,413,99,145,121.54663009404389,121.0,7.133205581824624
802,840,423,300,640,394,93,146,120.96277429467085,121.0,8.504780684864627
813,1064,429,300,640,382,101,145,121.49647335423198,121.0,6.772500182550329
749,217,461,300,640,394,98,146,121.33816614420063,121.0,7.781930949420568
626,305,285,300,640,401,99,145,121.77076802507837,122.0,7.295296808423228
466,562,258,300,640,373,99,144,120.99725705329153,121.0,6.732779636216261
339,852,279,300,640,376,98,146,120.78173981191223,121.0,7.051074004856092
96,1040,4,300,640,405,101,143,121.62774294670847,122.0,6.640994202423273
130,160,377,300,640,411,97,144,120.39851097178683,120.0,7.180927432158731
184,261,448,300,640,404,93,150,119.40634796238244,119.0,7.67797243051917
299,514,298,300,640,388,96,148,120.04310344827586,120.0,7.249290815511297
422,732,512,300,640,399,91,144,116.74373040752351,117.0,7.199856311874975
526,807,453,300,640,380,91,144,119.38832288401254,120.0,6.99311607385375
606,204,463,300,640,411,97,146,121.03252351097179,121.0,7.304352541169235
689,402,313,300,640,409,94,149,121.15595611285266,121.0,7.23329145528305
679,757,255,300,640,383,86,150,119.54741379310344,119.0,8.32928942209665
681,1186,372,300,640,392,92,145,121.02468652037618,121.0,7.751211977970661
625,1362,371,300,640,388,94,146,119.62539184952978,120.0,8.063178104655409
511,212,468,300,640,406,93,147,118.12578369905957,118.0,7.255973202340848
401,369,213,300,640,406,92,145,120.22531347962382,120.0,8.19935401417044
305,585,423,300,640,412,91,146,121.52547021943573,121.0,9.243703788626707
60,821,566,300,640,403,96,151,122.56504702194357,122.0,8.159537810819323
82,893,276,300,640,377,90,145,117.09130094043887,117.0,7.847081972697708
139,231,555,300,640,407,93,144,118.85266457680251,119.0,7.752555496381943
223,380,517,300,640,374,95,149,122.13048589341693,122.0,7.804315887531176
